Case ID,Field,Annotator A,Annotator B,Source Link(s) / Citation(s)
1,Temporal Pattern,Recurring incidents,Single event,https://incidentdatabase.ai/cite/2
1,Detection Timing,Immediate,Delayed,https://incidentdatabase.ai/cite/2
1,Recovery / Maintenance Action(s),Legal/regulatory remediation,Model retraining/revalidation; Downstream validation addition; Organizational/process change,https://incidentdatabase.ai/cite/2
1,Causal Location(s),Model,Model; Integration/Interface; Operational Process,https://incidentdatabase.ai/cite/2
2,Recovery / Maintenance Action(s),Major algorithm redesign; Legal/regulatory remediation,Model retraining/revalidation; Fallback/human-escalation addition; Legal/regulatory remediation,https://incidentdatabase.ai/cite/4/
2,Causal Location(s),Model,Model; Integration/Interface; Human/Organizational Governance,https://incidentdatabase.ai/cite/4/
3,Detection Signal,Pattern/statistical,Behavioral anomaly,https://incidentdatabase.ai/cite/300
3,Recovery / Maintenance Action(s),Major algorithm redesign,Model retraining/revalidation; Policy/governance change; Monitoring/drift-detection addition,https://incidentdatabase.ai/cite/300
3,Causal Location(s),Model; Human/Organizational Governance,Data; Model; Human/Organizational Governance,https://incidentdatabase.ai/cite/300
4,Propagation Reach,P1 - Single downstream component/decision,P2 - Multi-component/workflow/system-wide,https://incidentdatabase.ai/cite/301/
4,System Type,Surveillance/Identification System,Moderation/Filtering/Detection System,https://incidentdatabase.ai/cite/301/
4,Transfer Mode,Silent,Signaled,https://incidentdatabase.ai/cite/301/
4,Amplification,N,Y,https://incidentdatabase.ai/cite/301/
4,Detection Signal,Behavioral anomaly,Contestation/appeal,https://incidentdatabase.ai/cite/301/
4,Temporal Pattern,Single event,Ongoing pattern,https://incidentdatabase.ai/cite/301/
4,Recovery / Maintenance Action(s),Data correction; Model retraining/revalidation; Local rollback/content correction,Model retraining/revalidation; Affected-case review/redress; Policy/governance change,https://incidentdatabase.ai/cite/301/
4,Causal Location(s),Data; Model; Human/Organizational Governance,Data; Model; Operational Process,https://incidentdatabase.ai/cite/301/
5,Propagation Reach,P1 - Single downstream component/decision,P2 - Multi-component/workflow/system-wide,https://incidentdatabase.ai/cite/303
5,Recovery Complexity,High,Very High,https://incidentdatabase.ai/cite/303
5,Amplification,N,Y,https://incidentdatabase.ai/cite/303
5,Recovery Evidence Status,Inferred,Documented,https://incidentdatabase.ai/cite/303
