Case ID,Source Link(s) / Citation(s),Date,Entity,System Type,Title,Industry,Application Domain,Failure Category,Failure Mode(s),Manifestation Pattern,Manifestation — Brief Description,Propagation Reach,Boundary Transfer,Transfer Mode,Amplification,Propagation Chain,Detection Timing,Detector,Detection Signal,Impact Dimension(s),Risk Assessment,Risk Domain,Risk Subdomain,Recovery Complexity,Recovery Evidence Status,Recovery / Maintenance Action(s),Causal Location(s),Causal Mechanism,Missing Safeguard,Root Cause Description,Lifecycle Phase,Temporal Pattern,Timing / Period,Incident Year,Analysis Primary Category,Analysis Subcategory,Analysis Risk Level,Analysis Sector,Analysis Recovery Level,Propagation Level,Propagation Label
1,https://incidentdatabase.ai/cite/2,2018-12-05,Amazon,Autonomous Control/Robotics System,Warehouse Robot Ruptures Bear Spray and Injures Workers,"Finance, Retail & Commerce",AI-driven warehouse automation and robotics for inventory handling,Operational,Capability Limitation,Unsafe physical action or control,The warehouse robot punctured a bear-repellent can and released hazardous spray inside the facility.,P2 — Multi-component/workflow/system-wide,Y,Silent,Y,Robot Perception Failure → Inappropriate Object Handling → Hazardous Material Release → Worker Exposure → Medical Emergency → Facility Evacuation → Emergency Response Mobilization,Immediate,Affected user,Consequence-based,Physical safety / health; Service / operational,Severe,Safety & Health,Hazardous Material Detection and Safe Handling,High,Inferred,Legal/regulatory remediation,Model,The automated warehouse robot failed to identify the bear repellent can as a hazardous item requiring special handling protocols.,robust validation for expected edge cases and safe fallback handling,"The automated warehouse robot failed to identify the bear repellent can as a hazardous item requiring special handling protocols. The robot's computer vision and object recognition systems lacked adequate training for hazardous material identification, and the manipulation system did not implement appropriate force controls to prevent puncturing pressurized containers. This represents a systematic failure in industrial AI safety design where the system was not programmed to recognize and appropriately handle potentially dangerous items in the warehouse inventory.",Post-deployment,Single event,,2018,Operational,Capability Limitation,Severe,"Finance, Retail & Commerce",High,P2,Multi-component/workflow/system-wide
2,https://incidentdatabase.ai/cite/4/,2018-03-18,Uber,Autonomous Control/Robotics System,Uber autonomous vehicle struck and killed a pedestrian in Arizona,Transportation & Automotive,Autonomous driving and pedestrian detection systems,Operational,Capability Limitation,Unsafe physical action or control,The autonomous vehicle struck a pedestrian after failing to respond safely to her crossing path.,P1 — Single downstream component/decision,Y,Silent,N,AI Perception Failure → Object Misclassification → Delayed Hazard Recognition → Emergency Braking System Failure → Fatal Collision → Industry Regulatory Response → Public Trust Erosion in Autonomous Vehicles,Immediate,Operator,Consequence-based,Physical safety / health; Legal / regulatory; Reputational / trust,Critical,Safety & Health,Pedestrian Detection and Collision Avoidance,Very High,Inferred,Legal/regulatory remediation,Model,Uber's autonomous vehicle AI system failed due to multiple cascading issues: inadequate computer vision algorithms that could not maintain consistent pedestrian classification over time; sensor fusion systems that failed to integrate multiple data sources for reliable object identification; disabled automatic emergency braking that prevented the system from executing life-saving maneuvers when hazards were detected; and insufficient safety validation protocols that allowed deployment of systems with known classification instabilities. The system's inability to handle edge cases involving pedestrians with bicycles in low-light conditions exposed fundamental limitations in perception algorithms and safety system design for autonomous vehicles operating in complex real-world environments.,robust validation for expected edge cases and safe fallback handling,Uber's autonomous vehicle AI system failed due to multiple cascading issues: inadequate computer vision algorithms that could not maintain consistent pedestrian classification over time; sensor fusion systems that failed to integrate multiple data sources for reliable object identification; disabled automatic emergency braking that prevented the system from executing life-saving maneuvers when hazards were detected; and insufficient safety validation protocols that allowed deployment of systems with known classification instabilities. The system's inability to handle edge cases involving pedestrians with bicycles in low-light conditions exposed fundamental limitations in perception algorithms and safety system design for autonomous vehicles operating in complex real-world environments.,Post-deployment,Single event,,2018,Operational,Capability Limitation,Critical,Transportation & Automotive,Very High,P1,Single downstream component/decision
3,https://incidentdatabase.ai/cite/300,2022-01-15,TikTok (ByteDance),Recommendation/Ranking System,TikTok recommendation system promoted misogynistic content to youth-facing accounts,Social Media & Platforms,Recommender system and Algorithmic content curation,Operational,Objective/Metric Misalignment,Incorrect recommendation / ranking / amplification,TikTok’s recommendation system repeatedly promoted misogynistic content to newly created youth-facing accounts.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI Content Amplification → Targeted Youth Exposure → Ideological Radicalization → Behavioral Influence → Real-World Relationship Harm → Social Attitude Normalization → Gender-Based Violence Risk,Retrospective,Researcher/media,Pattern/statistical,Information integrity; Psychological / social; Civil rights / fairness / access,Severe,Information Integrity & Content Harm,Harmful Content Amplification and Minor Safety,Very High,Inferred,Major algorithm redesign,Model; Human/Organizational Governance,TikTok's recommendation algorithm failed due to prioritizing engagement metrics over content safety and policy compliance.,safety and quality constraints alongside performance objectives,"TikTok's recommendation algorithm failed due to prioritizing engagement metrics over content safety and policy compliance. The system lacked robust mechanisms to detect and prevent systematic promotion of misogynistic content, particularly to vulnerable minor users. The algorithm's design enabled coordinated manipulation by Hustler's University members who exploited engagement patterns to amplify harmful content.",Post-deployment,Ongoing pattern,,2022,Operational,Design & Implementation,Severe,Social Media & Platforms,Very High,P3,Cross-organizational/ecosystem/public-scale
4,https://incidentdatabase.ai/cite/301/,2022-02-15,Honorlock,Surveillance/Identification System,Teenager at Broward College Allegedly Wrongfully Accused of Cheating via Remote Proctoring,Education & Workforce,AI-powered online exam proctoring,Distributional,Bias & Discrimination,Misclassification / false positive,The remote-proctoring system falsely flagged a student’s ordinary behavior as evidence of cheating.,P2 — Multi-component/workflow/system-wide,Y,Silent,Y,AI Bias Detection → False Positive Flag → Human Review Bias → Academic Penalty → Student Record Impact → Educational Opportunity Restriction → Behavioral Modification to Avoid Future False Accusations,Immediate,Affected user,Contestation/appeal,Education / employment; Civil rights / fairness / access; Psychological / social,High,"Fairness, Civil Rights & Access",Unfair discrimination & misrepresentation,High,Inferred,Model retraining/revalidation,Data; Model,"The Honorlock AI proctoring system failed due to systematic bias in Amazon Rekognition's facial recognition technology, which research shows works least effectively on darker-skinned females.","representative data, subgroup testing, and fairness monitoring","The Honorlock AI proctoring system failed due to systematic bias in Amazon Rekognition's facial recognition technology, which research shows works least effectively on darker-skinned females. The system misinterpreted normal thinking behavior (looking down to process questions) as suspicious activity, likely due to training data that inadequately represented diverse behavioral patterns and demographic groups. The AI lacked contextual understanding of individual learning styles and thinking processes, applying rigid behavioral norms that disadvantaged students whose natural test-taking behaviors differed from the training data patterns.",Post-deployment,Single event,,2022,Distributional,Bias & Discrimination,High,Education & Workforce,High,P2,Multi-component/workflow/system-wide
5,https://incidentdatabase.ai/cite/303,2022-08-21,Google,Moderation/Filtering/Detection System,Google child-safety detector flagged a parent’s legitimate medical photos,Technology & AI Services,AI-powered content moderation and child safety protection systems,Operational,Capability Limitation,Misclassification / false positive,Google’s automated child-abuse detector misclassified legitimate medical images as prohibited material.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI Content Misclassification → Automatic Account Suspension → Law Enforcement Reporting → Criminal Investigation → Due Process Denial → Permanent Data Loss → Erosion of Trust in Cloud Services,Delayed,Affected user,Contestation/appeal,Service / operational; Legal / regulatory; Reputational / trust,High,"Fairness, Civil Rights & Access",Contextual reasoning failure in high-stakes applications,High,Inferred,Affected-case review/redress; Policy/governance change,Model,"Google's AI content moderation system failed due to its inability to distinguish legitimate medical documentation from child sexual abuse material, representing a fundamental limitation in contextual understanding and edge case handling.",robust validation for expected edge cases and safe fallback handling,"Google's AI content moderation system failed due to its inability to distinguish legitimate medical documentation from child sexual abuse material, representing a fundamental limitation in contextual understanding and edge case handling. The system lacked training on medical imagery and telemedicine contexts, treating all images of children's bodies as potentially illegal without considering legitimate medical purposes. The system's binary classification approach failed to account for ambiguous cases requiring human expertise, and the automated reporting pipeline provided no safeguards against false positives.",Post-deployment,Single event,,2022,Operational,Capability Limitation,High,Technology & AI Services,High,P3,Cross-organizational/ecosystem/public-scale
6,https://incidentdatabase.ai/cite/304,2021-11-03,Tesla,Autonomous Control/Robotics System,Tesla on FSD Reportedly Drove into the Wrong Lane in California,Transportation & Automotive,Autonomous driving navigation and vehicle control systems,Operational,Design/Implementation Defect,Multiple — specify,Tesla’s driving system entered the wrong lane and resisted the driver’s attempted correction.,P1 — Single downstream component/decision,Y,Silent,N,AI Perception/Navigation Failure → Wrong Lane Guidance → Human Correction Attempt → AI Override of Human Control → Unsafe Lane Entry → Vehicle Collision → Property Damage → Regulatory Investigation,Immediate,Operator,Behavioral anomaly,Physical safety / health; Service / operational; Financial / economic,High,Safety & Health,Autonomous Vehicle Navigation and Human Override Systems,Severe,Inferred,Model/subsystem replacement; Legal/regulatory remediation,Software/Implementation,Tesla's FSD system failed due to inadequate lane detection and navigation algorithms that misinterpreted the correct path during a left turn maneuver.,"pre-deployment testing, safe configuration, and logic validation","Tesla's FSD system failed due to inadequate lane detection and navigation algorithms that misinterpreted the correct path during a left turn maneuver. The system's decision-making process lacked sufficient understanding of lane boundaries and traffic flow patterns in the intersection context. Most critically, the AI system's authority management failed catastrophically by overriding human intervention when the driver attempted to correct the dangerous maneuver.",Post-deployment,Single event,,2021,Operational,Design & Implementation,High,Transportation & Automotive,Severe,P1,Single downstream component/decision
7,https://incidentdatabase.ai/cite/305,2019-02-01,YouTube (Google),Recommendation/Ranking System,YouTube's Recommendation Algorithm Allegedly Promoted Climate Misinformation Content,Social Media & Platforms,AI-driven recommendation systems for videos,Operational,Objective/Metric Misalignment,Incorrect recommendation / ranking / amplification,YouTube’s recommendation system promoted climate-misinformation videos to users.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI Recommendation Engine → Content Amplification → User Exposure → Advertising Revenue → Brand Association → Societal Misinformation Spread,Retrospective,Researcher/media,Pattern/statistical,Information integrity; Reputational / trust; Legal / regulatory,Severe,Information Integrity & Content Harm,amplification of false or misleading information,High,Inferred,Model retraining/revalidation; Policy/governance change,Model; Human/Organizational Governance,YouTube's recommendation algorithm optimized for user engagement without adequate safeguards against misinformation promotion; algorithm successfully increased watch time but amplified climate denial content; lack of content quality assessment in recommendation pipeline.,safety and quality constraints alongside performance objectives,YouTube's recommendation algorithm optimized for user engagement without adequate safeguards against misinformation promotion; algorithm successfully increased watch time but amplified climate denial content; lack of content quality assessment in recommendation pipeline. Safeguards for safety and quality constraints alongside performance objectives were absent or inadequate.,Post-deployment,Ongoing pattern,,2019,Operational,Design & Implementation,Severe,Social Media & Platforms,High,P3,Cross-organizational/ecosystem/public-scale
8,https://incidentdatabase.ai/cite/313,2022-08-25,Meta,Generative/Conversational System,BlenderBot 3 Cited Dutch Politician as a Terrorist,Technology & AI Services,Conversational AI and chatbot systems,Distributional,Hallucination/Confabulation,Hallucinated / fabricated output,BlenderBot generated the unsupported claim that a Dutch politician was a terrorist.,P3 — Cross-organizational/ecosystem/public-scale,Y,Silent,Y,AI Response Generation → User Interaction → Social Media Sharing → Public Information Spread → Reputational Damage → Potential Legal Consequences,Immediate,Affected user,Behavioral anomaly,Information integrity; Legal / regulatory; Reputational / trust,High,Information Integrity & Content Harm,AI-generated false information about real individuals,Moderate,Inferred,Local rollback/content correction,Model; Data,BlenderBot 3 hallucinated false information by incorrectly combining unrelated data points to falsely label Dutch politician Marietje Schaake as a terrorist; represents fundamental LLM training issue where model generates confident but fabricated responses about real people.,"factual grounding, uncertainty signaling, and output verification","BlenderBot 3 hallucinated false information by incorrectly combining unrelated data points to falsely label Dutch politician Marietje Schaake as a terrorist; represents fundamental LLM training issue where model generates confident but fabricated responses about real people. Safeguards for factual grounding, uncertainty signaling, and output verification were absent or inadequate.",Post-deployment,Single event,,2022,Distributional,Hallucination,High,Technology & AI Services,Moderate,P3,Cross-organizational/ecosystem/public-scale
9,https://incidentdatabase.ai/cite/685,2024-04-24,World Health Organization (WHO),Generative/Conversational System,The WHO's S.A.R.A.H. Bot Reported to Provide Inconsistent and Inadequate Health Information,Healthcare & Medicine,AI-powered health information and medical advisory systems,Operational,Capability Limitation,Incorrect recommendation / ranking / amplification,The health chatbot produced inconsistent and inadequate answers to health questions.,P1 — Single downstream component/decision,Y,Silent,N,AI Health Advisory → User Medical Decision-Making → Inappropriate Self-Treatment → Health Deterioration → Mental Health Crisis Escalation → Public Health Impact,Delayed,Affected user,Behavioral anomaly,Physical safety / health; Reputational / trust; Service / operational,High,Safety & Health,Medical AI reliability and crisis response inadequacy,High,Inferred,Model retraining/revalidation,Model,S.A.R.A.H.,robust validation for expected edge cases and safe fallback handling,S.A.R.A.H. chatbot exhibited fundamental inconsistency in medical advice generation and failed to provide appropriate responses to mental health emergencies; insufficient training on medical knowledge consistency and crisis intervention protocols; lack of robust safety mechanisms for high-stakes health scenarios. Safeguards for robust validation for expected edge cases and safe fallback handling were absent or inadequate.,Post-deployment,Ongoing pattern,,2024,Operational,Capability Limitation,High,Healthcare & Medicine,High,P1,Single downstream component/decision
10,https://incidentdatabase.ai/cite/608,2023-02-28,UnitedHealthcare,Predictive/Scoring Model,UnitedHealth Accused of Deploying Allegedly Flawed AI to Deny Medical Coverage,Healthcare & Medicine,AI-powered medical claims processing and coverage determination,Operational,Capability Limitation,Incorrect score / prediction / allocation,The claims algorithm recommended denying medical coverage based on unreliable estimates of patient needs.,P2 — Multi-component/workflow/system-wide,Y,Silent,Y,AI Claims Assessment → Coverage Denial → Financial Burden on Patients → Delayed/Forgone Medical Care → Health Deterioration → Healthcare System Impact,Retrospective,Regulator/legal,Contestation/appeal,Civil rights / fairness / access; Physical safety / health; Financial / economic,Severe,Safety & Health,medical decision-making inadequacy with systematic bias,Severe,Inferred,Affected-case review/redress,Model,"nH Predict algorithm failed to properly assess individual patient medical circumstances, systematically denying appropriate care coverage; algorithm designed or configured to prioritize cost reduction over medical appropriateness; insufficient consideration of patient-specific factors and medical complexity.",robust validation for expected edge cases and safe fallback handling,"nH Predict algorithm failed to properly assess individual patient medical circumstances, systematically denying appropriate care coverage; algorithm designed or configured to prioritize cost reduction over medical appropriateness; insufficient consideration of patient-specific factors and medical complexity. Safeguards for robust validation for expected edge cases and safe fallback handling were absent or inadequate.",Post-deployment,Ongoing pattern,,2023,Operational,Capability Limitation,Severe,Healthcare & Medicine,Severe,P2,Multi-component/workflow/system-wide
