case_id,field,annotator_c,annotator_d
1,Amplification,Y,N
1,Propagation Reach,P2,P1
1,Recovery Complexity,Moderate,High
1,Impact Dimension(s),Legal / regulatory; Physical safety / health; Service / operational,Physical safety / health; Service / operational
1,Recovery / Maintenance Action(s),Software/pipeline repair,Downstream validation addition; Software/pipeline repair
1,Causal Location(s),Software/Implementation,Model; Software/Implementation
2,Recovery Evidence Status,IE,Inferred
2,Propagation Reach,P2,P1
2,Recovery Complexity,IE,High
2,Impact Dimension(s),Legal / regulatory; Physical safety / health,Physical safety / health
2,Recovery / Maintenance Action(s),IE,Downstream validation addition; Fallback/human-escalation addition
2,Causal Location(s),Model,Model; Operational Process
3,Detector,Third party,Regulator/legal
3,Recovery Evidence Status,IE,Inferred
3,Risk Assessment,High,Severe
3,Recovery Complexity,IE,High
3,Recovery / Maintenance Action(s),IE,Downstream validation addition; Model retraining/revalidation; Policy/governance change
3,Causal Location(s),Model,Data; Model
4,Industry,Other,"Finance, Retail & Commerce"
4,Detection Timing,Immediate,Delayed
4,Recovery Evidence Status,IE,Inferred
4,Temporal Pattern,Recurring incidents,Ongoing pattern
4,Propagation Reach,P2,P3
4,Recovery Complexity,IE,Moderate
4,Recovery / Maintenance Action(s),IE,Affected-case review/redress; Policy/governance change
6,Failure Category,Operational,Distributional
6,Recovery Evidence Status,Documented,Inferred
6,Recovery Complexity,Moderate,High
6,Failure Mode(s),Capability Limitation,Bias & Discrimination
6,Recovery / Maintenance Action(s),Affected-case review/redress; Legal/regulatory remediation,Affected-case review/redress; Downstream validation addition; Fallback/human-escalation addition
6,Causal Location(s),Integration/Interface; Model; Operational Process,Model; Operational Process
7,Amplification,N,Y
7,Detection Signal,Behavioral anomaly,Consequence-based
7,Recovery Evidence Status,IE,Inferred
7,Recovery Complexity,IE,High
7,Recovery / Maintenance Action(s),IE,Downstream validation addition; Fallback/human-escalation addition; Software/pipeline repair
7,Causal Location(s),Model,Model; Software/Implementation
8,Detector,Affected user,Regulator/legal
8,Recovery Evidence Status,IE,Inferred
8,Risk Assessment,High,Severe
8,Recovery Complexity,IE,High
8,Recovery / Maintenance Action(s),IE,Affected-case review/redress; Downstream validation addition; Model retraining/revalidation
8,Causal Location(s),Model,Data; Human/Organizational Governance; Model
9,Recovery Evidence Status,IE,Inferred
9,Recovery Complexity,IE,Moderate
9,Recovery / Maintenance Action(s),IE,Affected-case review/redress; Organizational/process change
10,Detection Signal,Consequence-based,Contestation/appeal
10,Risk Domain,"Social, Psychological & Trust",Information Integrity & Content Harm
10,Recovery Evidence Status,IE,Documented
10,Temporal Pattern,Recurring incidents,Single event
10,Recovery Complexity,IE,Moderate
10,Recovery / Maintenance Action(s),IE,Affected-case review/redress; Legal/regulatory remediation; Organizational/process change
11,Recovery Evidence Status,IE,Inferred
11,Temporal Pattern,Recurring incidents,Ongoing pattern
11,Recovery Complexity,IE,Moderate
11,Recovery / Maintenance Action(s),IE,Local rollback/content correction; Monitoring/drift-detection addition
13,Manifestation Pattern,Incorrect score / prediction / allocation,Incorrect recommendation / ranking / amplification
13,Recovery Evidence Status,IE,Inferred
13,Recovery Complexity,IE,Severe
13,Recovery / Maintenance Action(s),IE,Interface/workflow/component modification; Organizational/process change; Policy/governance change
13,Causal Location(s),Human/Organizational Governance; Model,Human/Organizational Governance; Model; Operational Process
14,Recovery Complexity,Severe,Very High
14,Recovery / Maintenance Action(s),Legal/regulatory remediation; Service suspension/retirement,Legal/regulatory remediation; Service suspension/retirement; Software/pipeline repair
14,Causal Location(s),Model; Software/Implementation,Model; Operational Process; Software/Implementation
15,Detector,Third party,Affected user
15,Impact Dimension(s),Financial / economic; Psychological / social; Security / abuse,Financial / economic; Security / abuse
15,Recovery / Maintenance Action(s),Legal/regulatory remediation,Affected-case review/redress; Legal/regulatory remediation
16,Recovery Evidence Status,IE,Inferred
16,Propagation Reach,P2,P3
16,Recovery Complexity,IE,Severe
16,Impact Dimension(s),Civil rights / fairness / access; Physical safety / health; Service / operational,Civil rights / fairness / access; Legal / regulatory; Physical safety / health
16,Recovery / Maintenance Action(s),IE,Affected-case review/redress; Model retraining/revalidation; Policy/governance change; Threshold/configuration adjustment
18,Detection Timing,Retrospective,Delayed
18,Detector,Researcher/media,Affected user
18,Detection Signal,Pattern/statistical,Consequence-based
18,Recovery Evidence Status,IE,Inferred
18,Recovery Complexity,IE,High
18,Recovery / Maintenance Action(s),IE,Downstream validation addition; Monitoring/drift-detection addition; Policy/governance change
19,Industry,Government & Public Services,Social Media & Platforms
